year,co2,ch4,n2o,other_wmghg,o3_trop,o3_strat,h2o_strat,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
1800,0.07939353668956815,0.026188773774288326,0.004264287854810086,4.3075971434156196e-08,0.01,-0.0,0.003385897721397786,0.0,-0.0015133101103053624,-0.004292765877928361,0.001334451020736492,-0.011477676635976335,0.17040288697636866,-0.06656547154016611,0.10728323751256222,0.10383741543620255,0.21112065294876475
1801,0.08097076064422665,0.02670473733150464,0.004349383638722187,4.393749086283378e-08,0.0102,-0.0,0.0034526056874812604,0.0,-0.0011366046749926133,-0.004123780038420595,0.0013728362446832226,-0.011716461343221,0.1805980962819972,-0.03669034946985362,0.1100735214274746,0.14390774681214358,0.2539812682396182
1802,0.08254757120954596,0.027220403030796297,0.004434471986354801,4.4799010291511365e-08,0.0104,-0.0,0.003519275144069136,0.0,-0.001324572839542383,-0.004769754578511556,0.0011842970564742632,-0.011955246050465669,0.18402739824539616,-0.008546892438603617,0.11125648975773114,0.17548050580679253,0.2867369955645237
1803,0.08412396862116422,0.027735771344452976,0.004519552898492893,4.5660529720216656e-08,0.0106,-0.0,0.003585906152222865,0.0,-0.0008285753217619832,-0.003914995004766371,0.0009280192377710635,-0.012194030757710339,0.18517955647392584,0.008613752092646379,0.11455566283039506,0.19379330856657223,0.30834897139696726
1804,0.08569995311452497,0.028250842743488724,0.004604626375921387,4.6522049148894234e-08,0.0108,-0.0,0.003652498772838975,0.0,-0.0005050874723907216,-0.004180111694800338,0.0011233322890294457,-0.012432815464955007,0.1855665834344882,0.010891437639521379,0.11701328518570656,0.1964580210740096,0.31347130625971614
1805,0.08727552492486515,0.02876561769764706,0.0046896924194251574,4.7383568577571826e-08,0.011,-0.0,0.003719053066649729,0.0,-0.0012924411187950381,-0.004809493788716289,0.0013231612489874483,-0.012671600172199671,0.18569659271698705,0.0023423165457713817,0.11799956166143216,0.18803890926275843,0.30603847092419056
1806,0.08885068428722268,0.029280096675406087,0.004774751029789041,4.8245088006249404e-08,0.0112,-0.0,0.003785569094223788,0.0,-0.001048656657356862,-0.004918768807649929,0.001411221468629958,-0.01291038487944434,0.18574025872045344,-0.012135027204228616,0.12042456045590838,0.1736052315162248,0.2940297919721332
1807,0.09042543143642935,0.029794280143982565,0.004859802207797425,4.910660743492699e-08,0.0114,-0.0,0.003852046915966735,0.0,-0.0013654426075094504,-0.005560942000093717,0.0016042765655385376,-0.01314916958668901,0.1857549291426783,-0.03218178013391612,0.12186033218202989,0.15357314900876218,0.2754334811907921
1808,0.0919997666071233,0.030308168569337268,0.004944845954234655,4.996812686363228e-08,0.0116,-0.0,0.00391848659212177,0.0,-0.0024301739825068787,-0.006744945864496279,0.0024171401314693943,-0.013387954293933675,0.1857598571570931,-0.05383539341516611,0.12262538368147642,0.13192446374192698,0.2545498474234034
1809,0.09357369003373815,0.030821762416179566,0.0050298822698850295,5.082964629230986e-08,0.0118,-0.0,0.0039848881827703,0.0,-0.0019650144313325506,-0.006000966340544979,0.0019147452886371268,-0.013626739001178344,-3.3656881341863514,-0.0733517264229786,0.12553229924780063,-3.4390398606093298,-3.3135075613615292
1810,0.0951472019505046,0.03133506214797193,0.00511491115553201,5.169116572098744e-08,0.012,-0.0,0.004051251747832525,0.0,-0.0021134153338070484,-0.0063680625861661025,0.0020513515268005093,-0.013865523708423014,-2.313830028435405,-0.0867682303292286,0.12735282859141114,-2.4005982587646337,-2.2732454301732226
1811,0.09672030259145666,0.03184806822693498,0.005199932611960203,5.255268514966503e-08,0.0122,-0.0,0.004117577347068085,0.0,-0.0015318624410979968,-0.006020812685578964,0.0017465276895764369,-0.014104308415667684,-0.7123016214302859,-0.09146400669641612,0.13017547747733685,-0.8037656281267019,-0.6735901506493651
1812,0.09829299219042575,0.032360781114051856,0.005284946639952979,5.3414204578342605e-08,0.0124,-0.0,0.004183865040076632,0.0,-0.0010901490071408178,-0.005729695090685264,0.001469928281724968,-0.014343093122912352,-0.11856299687933905,-0.0861910086495411,0.13282962945969834,-0.20475400552888015,-0.07192437606918181
1813,0.09986527098104836,0.03287320126907296,0.005369953240293262,5.42757240070479e-08,0.0126,-0.0,0.0042501148862984384,0.0,-0.0013538470848259397,-0.00590834506843684,0.0015150873687211264,-0.014581877830157016,0.08341540584179588,-0.07051241978235362,0.13462961203773835,0.012902986059442262,0.1475325980971806
